id,number,segmentId,departureTime,arrivalTime
0,V71314,0,1.00:45:00,1.03:33:10.2800000
1,V78340,0,04:51:00,07:47:10.2800000
2,V74408,0,19:05:00,21:41:10.2800000
3,V76106,0,20:00:00,22:35:10.2800000
4,V77792,0,16:45:00,19:41:10.2800000
5,V74102,0,11:04:00,13:43:10.2800000
6,V72556,0,18:22:00,21:08:10.2800000
7,V76812,0,13:26:00,16:12:10.2800000
8,V77191,0,08:36:00,11:11:10.2800000
9,V74824,0,1.00:14:00,1.02:53:10.2800000
10,V75439,0,04:02:00,06:59:10.2800000
11,V71444,1,20:08:00,22:41:10.2800000
12,V76271,1,22:33:00,1.01:19:10.2800000
13,V75526,1,22:36:00,1.01:32:10.2800000
14,V78640,1,05:11:00,07:56:10.2800000
15,V77044,1,12:42:00,15:15:10.2800000
16,V72257,1,20:07:00,23:01:10.2800000
17,V76242,1,15:37:00,18:11:10.2800000
18,V73701,1,06:16:00,09:00:10.2800000
19,V77664,1,13:12:00,15:56:10.2800000
20,V75449,1,04:33:00,07:20:10.2800000
21,V76881,1,13:59:00,16:30:10.2800000
22,V74959,1,22:43:00,1.01:40:10.2800000
23,V74085,2,16:02:00,19:03:52.4080000
24,V72686,2,18:15:00,21:36:52.4080000
25,V74046,2,02:37:00,05:41:52.4080000
26,V78348,2,04:22:00,07:29:52.4080000
27,V78022,2,11:22:00,14:30:52.4080000
28,V74891,2,01:22:00,04:36:52.4080000
29,V72143,2,03:04:00,06:08:52.4080000
30,V75051,2,16:31:00,19:45:52.4080000
31,V73228,2,21:24:00,1.00:43:52.4080000
32,V74840,2,04:20:00,07:19:52.4080000
33,V79055,2,19:00:00,22:20:52.4080000
34,V73823,2,15:41:00,18:51:52.4080000
35,V73659,3,01:52:00,04:49:52.4080000
36,V76262,3,16:00:00,18:55:52.4080000
37,V72636,3,20:15:00,23:31:52.4080000
38,V71718,3,02:54:00,05:46:52.4080000
39,V76134,3,02:50:00,06:11:52.4080000
40,V79595,3,10:10:00,13:18:52.4080000
41,V77113,3,15:07:00,17:59:52.4080000
42,V78984,4,07:12:00,09:58:53.6280000
43,V71467,4,03:48:00,06:48:53.6280000
44,V76286,4,21:35:00,1.00:31:53.6280000
45,V75318,4,13:42:00,16:41:53.6280000
46,V72067,4,02:30:00,05:14:53.6280000
47,V79905,4,1.00:23:00,1.03:13:53.6280000
48,V72159,4,09:42:00,12:32:53.6280000
49,V79105,4,23:26:00,1.02:19:53.6280000
50,V74336,4,07:48:00,10:45:53.6280000
51,V78190,4,14:35:00,17:17:53.6280000
