id,airline,departureAirport,arrivalAirport
0,1,1,1055
1,1,1,1075
2,1,1,1230
3,1,2,1264
4,1,2,1230
5,1,2,1214
6,1,3,1517
7,1,3,1551
8,1,3,1324
9,1,4,1403
10,1,5,1324
11,1,5,1264
12,1,5,1324
13,1,6,1412
14,1,7,1324
15,1,8,1320
16,1,9,1324
17,1,9,1399
18,1,9,1324
19,1,10,1359
20,1,11,1324
21,1,11,1418
22,1,11,1324
23,1,12,1435
24,1,13,1324
25,1,14,1273
26,1,15,4309
27,1,15,1519
28,1,16,4309
29,1,17,1509
30,1,17,4309
31,1,17,1512
32,1,18,1459
33,1,18,1551
34,1,19,1506
35,1,19,1551
36,1,19,1403
37,1,20,1321
38,1,20,1321
39,1,20,1264
40,1,21,1321
41,1,21,1399
42,1,21,1321
43,1,22,1418
44,1,23,1321
45,1,23,1435
46,1,23,1321
47,1,24,1273
48,1,24,1216
49,1,24,1551
50,1,25,1280
51,1,26,1399
52,1,27,1280
53,1,28,1435
54,1,29,1264
55,1,30,1412
56,1,30,1264
57,1,31,1322
58,1,32,1264
59,1,32,1563
60,1,33,1264
61,1,34,1323
62,1,34,1264
63,1,35,1340
64,1,35,1264
65,1,35,1225
66,1,36,1264
67,1,36,1399
68,1,37,1264
69,1,38,346
70,1,38,1264
71,1,39,1561
72,1,39,1264
73,1,40,1520
74,1,40,1264
75,1,41,3998
76,1,41,1264
77,1,42,1512
78,1,42,1264
79,1,42,1435
80,1,43,1264
81,1,44,1056
82,1,44,1264
83,1,44,1438
84,1,45,1264
85,1,45,1551
86,1,45,1264
87,1,46,1246
88,1,46,1501
89,1,46,1452
90,1,47,1501
91,1,47,1225
92,1,47,1501
93,1,48,1468
94,1,48,1501
95,1,48,1479
96,1,49,1501
97,1,50,1520
98,1,50,1501
99,1,50,3998
100,1,51,1501
101,1,52,1551
102,1,53,1501
103,1,54,1550
104,1,54,1519
105,1,55,1551
106,1,55,1460
107,1,56,1551
108,1,56,1322
109,1,57,1418
110,1,57,1500
111,1,58,1551
112,1,58,1509
113,1,59,1563
114,1,59,1509
115,1,60,1528
116,1,60,1509
117,1,61,1551
118,1,62,1563
119,1,62,1418
120,1,63,1563
121,1,63,1512
122,1,63,1323
123,1,64,1418
124,1,64,1051
125,1,64,1418
126,1,65,1340
127,1,65,1418
128,1,66,1528
129,1,67,1561
130,1,67,1528
131,1,67,1520
132,1,68,1528
133,1,68,1512
134,1,69,1528
135,1,69,1514
136,1,69,1452
137,1,70,1561
138,1,71,1452
139,1,71,1551
140,1,71,1225
141,1,72,1418
142,1,73,1225
143,1,74,1214
144,1,74,1225
145,1,74,1512
146,1,75,1225
147,1,75,1250
148,1,75,1225
149,1,76,1252
150,1,76,1468
151,1,76,1561
152,1,77,1468
153,1,77,1512
154,1,77,1468
155,1,78,1551
156,1,79,1475
157,1,80,1561
158,1,80,1475
159,1,80,1551
160,1,81,1479
161,1,82,1561
162,1,83,1479
163,1,83,1512
164,1,84,1479
165,1,84,1551
166,1,84,1458
167,1,85,1551
168,1,85,1399
169,1,86,1359
170,1,86,1510
171,1,86,1551
172,1,87,1054
173,1,88,1418
174,1,88,1359
175,1,88,1418
176,1,89,1359
177,1,89,1435
178,1,89,346
179,1,90,1418
180,1,90,1561
181,1,91,1418
182,1,91,1561
183,1,91,1520
184,1,92,1561
185,1,92,1512
186,1,92,1561
187,1,93,1526
188,1,93,1561
189,1,93,1545
190,1,94,1418
191,1,95,1520
192,1,95,1418
193,1,95,1356
194,1,96,1418
195,1,96,3998
196,1,96,1418
197,1,97,1512
198,1,97,1418
199,1,98,1587
200,1,98,1418
201,1,99,1435
202,1,100,1418
203,1,100,1056
204,1,101,1418
205,1,101,1438
206,1,101,1418
207,1,102,1551
208,1,102,1418
209,1,102,1246
210,1,103,1520
211,1,103,1512
212,1,103,1520
213,1,104,1526
214,1,104,1520
215,1,104,1551
216,1,105,1214
217,1,105,3998
218,1,105,1214
219,1,106,1246
220,1,106,3998
221,1,106,1512
222,1,107,3998
223,1,107,1526
224,1,107,3998
225,1,108,1551
226,1,108,3998
227,1,108,1250
228,1,109,3998
229,1,109,1252
230,1,110,1512
231,1,110,1435
232,1,110,1512
233,1,111,1526
234,1,112,1512
235,1,112,1545
236,1,113,1512
237,1,114,1551
238,1,115,1512
239,1,116,1550
240,1,116,1511
241,1,117,1551
242,1,117,1470
243,1,117,1551
244,1,119,1514
245,1,119,1551
246,1,120,1472
247,1,120,1551
248,1,121,1476
249,1,122,1551
250,1,122,1206
251,1,122,1551
252,1,123,1508
253,1,123,1551
254,1,123,1435
255,1,124,1438
256,1,125,1250
257,1,125,1246
258,2,125,3341
259,2,126,3341
260,2,126,3341
261,2,126,3341
262,2,127,3341
263,2,128,3341
264,2,128,3341
265,2,129,2006
266,2,129,2006
267,2,130,2006
268,2,130,2006
269,2,131,2006
270,2,131,2006
271,2,132,2006
272,2,132,2006
